time,ax,ay,az,fx,fy,fz,tx,ty,tz
8777,-0.00292365,0,-9.80875,-0.894288,-0.723731,-4.85633,-0.277802,-0.257379,0.00197672
8778,-0.00584555,0,-9.8075,-0.87909,-0.718115,-4.85979,-0.276477,-0.255986,0.00139974
8779,-0.00876571,0,-9.80625,-0.866039,-0.716763,-4.86656,-0.275257,-0.254836,0.000605153
8782,-0.0116841,0,-9.80501,-0.873154,-0.719449,-4.86189,-0.275806,-0.256218,0.0008522
8783,-0.0146008,0,-9.80376,-0.878647,-0.72065,-4.85769,-0.276253,-0.257216,0.00102541
8784,-0.0175158,0,-9.80251,-0.88093,-0.720208,-4.8581,-0.276434,-0.257472,0.000979908
8787,-0.020429,0,-9.80126,-0.881562,-0.721047,-4.85879,-0.27633,-0.257371,0.00131053
8789,-0.0233405,0,-9.80002,-0.883279,-0.72217,-4.85567,-0.276552,-0.258072,0.00138035
8790,-0.0262502,0,-9.79877,-0.884094,-0.722554,-4.85476,-0.276637,-0.258482,0.00150089
8791,-0.0291583,0,-9.79752,-0.882054,-0.721636,-4.85842,-0.276456,-0.258057,0.00146652
8792,-0.0320646,0,-9.79628,-0.880188,-0.720921,-4.86337,-0.276221,-0.257179,0.00162707
8793,-0.0349691,0,-9.79503,-0.877379,-0.719882,-4.86454,-0.276081,-0.256714,0.00136614
8794,-0.037872,0,-9.79379,-0.877889,-0.72026,-4.86721,-0.276074,-0.256177,0.00131781
8795,-0.0407731,0,-9.79254,-0.878578,-0.720769,-4.86739,-0.275985,-0.256069,0.001499
8796,-0.0436725,0,-9.7913,-0.878006,-0.721904,-4.86673,-0.275969,-0.256161,0.00146454
8797,-0.0465702,0,-9.79005,-0.878461,-0.722792,-4.86648,-0.275918,-0.256087,0.00154537
8798,-0.0494661,0,-9.78881,-0.879075,-0.722916,-4.86584,-0.276051,-0.256279,0.00163388
8799,-0.0523604,0,-9.78756,-0.879995,-0.722261,-4.86517,-0.276202,-0.256691,0.00156294
8800,-0.0552529,0,-9.78632,-0.882099,-0.722064,-4.86344,-0.276372,-0.257019,0.00155345
8801,-0.0581437,0,-9.78508,-0.882866,-0.722578,-4.86118,-0.276572,-0.257477,0.00137668
8802,-0.0610328,0,-9.78383,-0.883864,-0.723266,-4.85922,-0.276675,-0.257837,0.00138359
8803,-0.0639202,0,-9.78259,-0.883884,-0.723912,-4.85834,-0.276614,-0.258011,0.00132935
8804,-0.0668059,0,-9.78135,-0.882836,-0.724112,-4.86042,-0.276459,-0.257601,0.00131564
8805,-0.0696899,0,-9.78011,-0.879324,-0.723943,-4.86133,-0.276213,-0.257206,0.00104686
8806,-0.0725721,0,-9.77887,-0.877957,-0.72413,-4.86463,-0.276125,-0.25661,0.00119893
8807,-0.0754527,0,-9.77762,-0.877114,-0.723687,-4.86727,-0.276097,-0.256345,0.00117591
8808,-0.0783316,0,-9.77638,-0.877578,-0.723739,-4.86831,-0.276117,-0.256098,0.00119656
8809,-0.0812087,0,-9.77514,-0.877999,-0.723837,-4.86919,-0.276137,-0.255886,0.0012158
8810,-0.0840842,0,-9.7739,-0.877819,-0.724387,-4.86961,-0.276135,-0.255823,0.00126932
8811,-0.0869579,0,-9.77266,-0.877605,-0.724249,-4.87044,-0.276032,-0.255703,0.00131894
8812,-0.08983,0,-9.77142,-0.878558,-0.724342,-4.8703,-0.276031,-0.255704,0.00155837
8813,-0.0927004,0,-9.77018,-0.879595,-0.724342,-4.8695,-0.276102,-0.255979,0.00154327
8814,-0.095569,0,-9.76894,-0.880059,-0.724941,-4.8672,-0.276281,-0.25649,0.00135884
8815,-0.098436,0,-9.7677,-0.881919,-0.725118,-4.86471,-0.276446,-0.256875,0.0013222
8816,-0.101301,0,-9.76647,-0.882974,-0.724744,-4.86294,-0.276606,-0.257324,0.00125694
8817,-0.104165,0,-9.76523,-0.884727,-0.723933,-4.86285,-0.276659,-0.257342,0.00128213
8818,-0.107027,0,-9.76399,-0.885036,-0.723803,-4.86379,-0.276668,-0.257045,0.00130832
8819,-0.109887,0,-9.76275,-0.884384,-0.723678,-4.86563,-0.276575,-0.256782,0.00143472
8820,-0.112746,0,-9.76152,-0.883522,-0.723604,-4.86709,-0.276419,-0.256519,0.00147417
8821,-0.115602,0,-9.76028,-0.88253,-0.724186,-4.86775,-0.276307,-0.256325,0.00143294
8822,-0.118458,0,-9.75904,-0.881707,-0.72534,-4.86786,-0.276312,-0.256227,0.0013886
8823,-0.121311,0,-9.75781,-0.881545,-0.725931,-4.86833,-0.276336,-0.256024,0.0013172
8824,-0.124163,0,-9.75657,-0.881972,-0.726052,-4.86907,-0.276375,-0.255733,0.00122522
8825,-0.127013,0,-9.75533,-0.882363,-0.726201,-4.86971,-0.276406,-0.255483,0.00115305
8826,-0.129861,0,-9.7541,-0.882899,-0.726272,-4.86957,-0.276488,-0.255546,0.000884964
8827,-0.132708,0,-9.75286,-0.884809,-0.726067,-4.86887,-0.276567,-0.255549,0.000775934
8828,-0.135553,0,-9.75163,-0.886344,-0.726795,-4.86655,-0.276688,-0.255795,0.000660076
8829,-0.138397,0,-9.75039,-0.887963,-0.726777,-4.86519,-0.276768,-0.255977,0.000635614
8830,-0.141239,0,-9.74916,-0.888876,-0.726065,-4.86446,-0.276817,-0.256163,0.000889939
8831,-0.144079,0,-9.74793,-0.887293,-0.725298,-4.86479,-0.276683,-0.256513,0.00113784
8832,-0.146917,0,-9.74669,-0.885533,-0.725001,-4.86577,-0.276456,-0.256684,0.00147716
8833,-0.149754,0,-9.74546,-0.884318,-0.725517,-4.86686,-0.276237,-0.256525,0.00168199
8834,-0.152589,0,-9.74423,-0.882806,-0.727202,-4.86667,-0.276099,-0.256447,0.00170687
8835,-0.155422,0,-9.743,-0.882301,-0.728218,-4.86513,-0.276062,-0.256666,0.00182084
8836,-0.158254,0,-9.74176,-0.882632,-0.727763,-4.86495,-0.276179,-0.256772,0.00186014
8837,-0.161084,0,-9.74053,-0.883792,-0.726826,-4.86604,-0.276305,-0.256438,0.00172583
8838,-0.163913,0,-9.7393,-0.884236,-0.726198,-4.86775,-0.276347,-0.256055,0.00162423
8839,-0.166739,0,-9.73807,-0.883209,-0.725994,-4.86977,-0.276359,-0.255779,0.00143855
8840,-0.169565,0,-9.73684,-0.88287,-0.725999,-4.87043,-0.276278,-0.255574,0.00136848
8841,-0.172388,0,-9.73561,-0.882035,-0.72674,-4.86949,-0.276224,-0.255734,0.00137798
8842,-0.17521,0,-9.73438,-0.881842,-0.727594,-4.86688,-0.276177,-0.256243,0.00166205
8843,-0.17803,0,-9.73315,-0.881057,-0.727774,-4.86505,-0.276168,-0.256797,0.00184997
8844,-0.180849,0,-9.73192,-0.880935,-0.727757,-4.86454,-0.276251,-0.257002,0.00192477
8845,-0.183665,0,-9.73069,-0.88202,-0.726582,-4.86536,-0.276286,-0.257057,0.00191653
8846,-0.186481,0,-9.72946,-0.882242,-0.726235,-4.86616,-0.276376,-0.256978,0.00160079
8847,-0.189294,0,-9.72823,-0.882778,-0.726145,-4.86659,-0.276478,-0.256823,0.00124449
8848,-0.192106,0,-9.727,-0.884343,-0.725642,-4.86658,-0.27653,-0.256728,0.00116614
8849,-0.194917,0,-9.72577,-0.884112,-0.72611,-4.86659,-0.276569,-0.256729,0.000931575
8850,-0.197725,0,-9.72454,-0.884077,-0.726801,-4.86707,-0.276573,-0.256366,0.000850463
8851,-0.200532,0,-9.72332,-0.883598,-0.726465,-4.86852,-0.276472,-0.256203,0.00105596
8852,-0.203338,0,-9.72209,-0.883298,-0.726155,-4.86948,-0.276314,-0.255849,0.00137113
