seq,Fx,Fy,Fz,Mx,My,Mz
1,-0.289482,-0.236668,-4.97698,-0.0100571,0.0336215,-0.00556288
2,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
3,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
4,-0.292995,-0.24545,-4.99122,-0.0110168,0.033228,-0.00516272
5,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
6,-0.278135,-0.22666,-4.97872,-0.0101118,0.0343199,-0.00632585
7,-0.296947,-0.251437,-4.99325,-0.0130517,0.0320991,-0.00478399
8,-0.301999,-0.248628,-4.98643,-0.0119422,0.0321236,-0.00447498
9,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
10,-0.291898,-0.244277,-4.99417,-0.0120134,0.0341392,-0.00589124
11,-0.296947,-0.251437,-4.99325,-0.0130517,0.0320991,-0.00478399
12,-0.293915,-0.251936,-4.99166,-0.0117164,0.032706,-0.00554207
13,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
14,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
15,-0.314312,-0.250431,-4.98874,-0.0135146,0.0322548,-0.00330409
16,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
17,-0.274199,-0.23065,-4.98262,-0.0102297,0.03338,-0.00590191
18,-0.274017,-0.228051,-4.97937,-0.00972959,0.0330499,-0.00778915
19,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
20,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
21,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
22,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
23,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
24,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
25,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
26,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
27,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
28,-0.289482,-0.236668,-4.97698,-0.0100571,0.0336215,-0.00556288
29,-0.307342,-0.252865,-4.99175,-0.0123418,0.0347097,-0.00366629
30,-0.27814,-0.228725,-4.97797,-0.0100683,0.0315245,-0.00630172
31,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
32,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
33,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
34,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
35,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
36,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
37,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
38,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
39,-0.296947,-0.251437,-4.99325,-0.0130517,0.0320991,-0.00478399
40,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
41,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
42,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
43,-0.296947,-0.251437,-4.99325,-0.0130517,0.0320991,-0.00478399
44,-0.304091,-0.24958,-4.99419,-0.0147703,0.0327573,-0.00256567
45,-0.311292,-0.250934,-4.98715,-0.0121804,0.0328614,-0.00406229
46,-0.270388,-0.227535,-4.99404,-0.0110962,0.0318251,-0.00665839
47,-0.259935,-0.224093,-4.9567,-0.0057702,0.033259,-0.00966016
48,-0.277662,-0.278327,-5.02502,-0.0151629,0.0299732,-0.00216277
49,-0.298165,-0.249153,-4.99256,-0.0108675,0.0326983,-0.00621427
50,-0.307929,-0.255345,-4.97396,-0.0108928,0.0378028,-0.00341146
51,-0.29521,-0.254925,-5.00639,-0.0147605,0.0305225,-0.00458397
52,-0.306416,-0.221863,-4.95847,-0.00859304,0.0364699,-0.00652528
53,-0.273441,-0.251423,-4.98793,-0.0112709,0.0308056,-0.00361214
54,-0.283542,-0.243838,-5.00337,-0.0155482,0.0321545,-0.00510219
55,-0.291116,-0.207902,-4.95745,-0.00656067,0.0355086,-0.00764467
56,-0.284716,-0.237035,-4.99381,-0.0123664,0.0305252,-0.00514321
57,-0.30105,-0.244195,-4.98526,-0.0111974,0.0298522,-0.00407124
58,-0.281084,-0.238794,-4.97744,-0.0105658,0.0351509,-0.00638106
59,-0.273264,-0.226195,-4.9814,-0.00948249,0.0311059,-0.00549671
60,-0.292868,-0.238195,-4.99746,-0.0135937,0.0321768,-0.00546067
61,-0.304198,-0.238175,-4.9898,-0.0113871,0.0335498,-0.00549884
62,-0.283056,-0.242331,-4.97631,-0.0103579,0.0392866,-0.00608431
63,-0.27565,-0.240947,-4.99121,-0.010707,0.0322386,-0.00463981
64,-0.301158,-0.24075,-4.98746,-0.0100035,0.0313647,-0.00623622
65,-0.308462,-0.26398,-4.99479,-0.0135062,0.0317282,-0.00212956
66,-0.280483,-0.233472,-4.98178,-0.00912943,0.034731,-0.00624848
67,-0.280172,-0.232281,-4.97698,-0.00986229,0.0356758,-0.00600042
68,-0.29099,-0.249807,-4.99887,-0.0134175,0.0298076,-0.00468828
69,-0.303903,-0.246976,-4.99095,-0.0142673,0.0324298,-0.00444899
70,-0.291523,-0.242292,-4.97523,-0.00980879,0.0349764,-0.0052363
71,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
72,-0.302998,-0.232559,-4.98386,-0.0113757,0.032229,-0.00484463
73,-0.298753,-0.243302,-4.9896,-0.0144181,0.0329569,-0.0033994
74,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
75,-0.281084,-0.238794,-4.97744,-0.0105658,0.0351509,-0.00638106
76,-0.30137,-0.251238,-4.9974,-0.0127072,0.0324199,-0.0035702
77,-0.301999,-0.248628,-4.98643,-0.0119422,0.0321236,-0.00447498
78,-0.290613,-0.245777,-4.98075,-0.0112668,0.0334252,-0.0040523
79,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
80,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
81,-0.291907,-0.246336,-4.99343,-0.0119667,0.0313525,-0.00586772
82,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
83,-0.272107,-0.237664,-4.98153,-0.00959682,0.0334683,-0.00704014
84,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
85,-0.299972,-0.243025,-4.98818,-0.0121908,0.0307691,-0.00480231
86,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
87,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
88,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
89,-0.299972,-0.243025,-4.98818,-0.0121908,0.0307691,-0.00480231
90,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
91,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
92,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
93,-0.302988,-0.240491,-4.9905,-0.0135694,0.0329508,-0.00406971
94,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
95,-0.272107,-0.237664,-4.98153,-0.00959682,0.0334683,-0.00704014
96,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
97,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
98,-0.275121,-0.229233,-4.97642,-0.00873048,0.0321357,-0.00706049
99,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
100,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
101,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
102,-0.296947,-0.251437,-4.99325,-0.0130517,0.0320991,-0.00478399
103,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
104,-0.310362,-0.252372,-4.99334,-0.0136758,0.0341023,-0.00290906
105,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
106,-0.302988,-0.240491,-4.9905,-0.0135694,0.0329508,-0.00406971
107,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
108,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
109,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
110,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
111,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
112,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
113,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
114,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
115,-0.307342,-0.252865,-4.99175,-0.0123418,0.0347097,-0.00366629
116,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
