time,ax,ay,az
2637,-0.0175781,-0.993652,0.0722656
6583,-0.0126953,-0.993652,0.0722656
10529,-0.013916,-0.984863,0.0683594
14463,-0.013916,-0.990723,0.0715332
18404,-0.0187988,-0.990723,0.0715332
22335,-0.00805664,-0.987061,0.0686035
26310,-0.00805664,-0.991211,0.0754395
30227,-0.013916,-0.991211,0.0754395
34149,-0.0141602,-0.99292,0.0666504
38103,-0.0141602,-0.990967,0.0686035
42054,-0.0131836,-0.990967,0.0686035
46022,-0.0119629,-0.986328,0.0703125
49964,-0.0119629,-0.986328,0.0708008
53878,-0.0192871,-0.988525,0.0708008
57841,-0.017334,-0.991699,0.0637207
61794,-0.017334,-0.991699,0.0649414
65721,-0.0161133,-0.98999,0.0649414
69664,-0.0144043,-0.987793,0.0725098
73602,-0.0144043,-0.987793,0.0656738
77632,-0.0180664,-1.00635,0.0656738
81534,-0.0141602,-0.989502,0.0678711
85510,-0.0141602,-0.989502,0.0683594
89417,-0.0126953,-1.00537,0.0683594
93360,-0.0134277,-0.985107,0.0690918
97288,-0.0134277,-0.985107,0.0737305
101235,-0.0131836,-0.98999,0.0737305
105173,-0.0185547,-1.00806,0.0622559
109089,-0.0185547,-1.00806,0.00488281
113016,-0.0124512,-0.960205,0.0673828
116978,-0.0317383,-1.05225,0.0717773
120883,-0.0317383,-1.05225,0.0717773
124847,-0.0168457,-0.967529,0.0720215
128768,-0.0168457,-1.06885,0.0666504
132702,-0.0231934,-1.06885,0.0666504
136641,-0.00537109,-0.965088,0.0727539
140602,-0.00537109,-1.02197,0.074707
144477,-0.00048828,-1.02197,0.074707
148406,-0.0241699,-1.05005,0.0527344
152380,-0.0241699,-0.974121,0.0847168
156296,-0.0012207,-0.974121,0.0847168
160249,-0.0246582,-1.09424,0.0559082
164126,-0.0246582,-1.08521,0.0654297
168061,-0.00439453,-0.897705,0.0654297
172004,-0.0131836,-1.09985,0.0751953
175933,-0.0131836,-1.0752,0.0588379
179882,-0.0361328,-0.950195,0.0588379
183814,0.00927734,-0.990723,0.0944824
187777,0.00927734,-1,0.050293
191709,-0.0319824,-1.0625,0.050293
195640,-0.0197754,-0.938477,0.0610352
199594,-0.0197754,-0.938477,0.0834961
203529,-0.0239258,-1.16357,0.0834961
207471,-0.0366211,-0.991455,0.0571289
211403,-0.0366211,-0.991455,0.0722656
215317,0.00292969,-1.03784,0.0722656
219258,-0.0100098,-0.980225,0.050293
223179,-0.0100098,-0.980225,0.020752
227149,0.017334,-0.91748,0.083252
231036,0.0424805,-1.02979,0.0727539
234964,-0.0200195,-1.02979,0.122314
238903,-0.0197754,-0.846436,0.0598144
242829,-0.00195313,-1.15063,0.0517578
246760,-0.0644531,-1.15063,0.0517578
250684,-0.0334473,-0.836914,0.0678711
254638,-0.0361328,-1.04663,0.0961914
258550,-0.0361328,-1.04663,0.0961914
262463,-0.0463867,-1.0083,0.0510254
266432,-0.0463867,-0.929199,0.0874023
270346,-0.0158691,-0.929199,0.0874023
274282,-0.0444336,-1.20801,0.0512695
278208,-0.0444336,-0.931641,0.0805664
282141,0.0202637,-0.931641,0.0805664
286085,-0.034668,-1.22412,0.0371094
290007,-0.034668,-1.22632,0.0725098
293948,0.00097656,-1.10132,0.0725098
297946,0.0297852,-1.03198,0.101807
301844,0.0297852,-1.01343,0.032959
305826,-0.0476074,-1.20093,0.032959
309734,0.00878906,-0.912842,0.0864258
313666,0.00878906,-0.898682,0.0629883
317606,-0.019043,-1.14868,0.0629883
321552,-0.0437012,-1.01147,0.0505371
325459,-0.0437012,-1.01147,0.098877
329395,-0.00366211,-0.95459,0.098877
333324,-0.0339356,-1.09302,0.0539551
337253,-0.0339356,-1.09302,0.0737305
341204,-0.0114746,-0.893799,0.0737305
345154,-0.0505371,-1.11572,0.0512695
349052,-0.0505371,-1.11572,0.0927734
352989,-0.0202637,-0.995117,0.0927734
356913,-0.0227051,-1.01416,0.0756836
360851,-0.0227051,-1.01416,0.095459
364818,-0.0622559,-1.14575,0.032959
368743,-0.0166016,-0.992432,0.0871582
372664,-0.0166016,-0.992432,0.0710449
376607,-0.0180664,-1.04028,0.0710449
380557,-0.0285645,-1.03906,0.0683594
384444,-0.0285645,-1.03906,0.0683594
388385,0.0117188,-0.869629,0.0751953
392314,0.0334473,-1.0498,0.0556641
396252,-0.0290527,-1.0498,0.0556641
400194,-0.0266113,-0.866943,0.081543
404117,-0.0266113,-1.06128,0.0632324
408143,-0.0861816,-1.06128,0.0632324
412057,-0.0844727,-1.07422,0.0881348
415988,-0.0844727,-1.06567,0.0583496
419933,-0.0791016,-1.06567,0.0583496
423858,-0.0742188,-1.21313,0.0627441
427821,-0.0742188,-1.19434,0.0751953
431752,-0.0141602,-0.944336,0.0751953
435677,-0.00561523,-1.19287,0.0646973
439578,-0.00561523,-1.198,0.0678711
443506,0.0012207,-0.947998,0.0678711
447474,-0.017334,-1.06299,0.0693359
451399,-0.017334,-1.08301,0.0529785
455313,-0.078125,-1.14551,0.0529785
459262,-0.0266113,-0.940186,0.097168
463187,-0.0266113,-0.940186,0.0307617
467111,-0.0637207,-1.12573,0.0307617
471061,-0.046875,-0.876221,0.0686035
474969,-0.046875,-0.876221,0.0754395
478902,-0.0478516,-1.05176,0.0754395
482841,-0.0522461,-1.10083,0.0664062
486742,-0.0522461,-1.10083,0.0695801
490701,-0.050293,-0.980469,0.0695801
494632,-0.00415039,-1.08813,0.0822754
498541,-0.00415039,-1.08813,0.0664062
502492,-0.0378418,-1.01538,0.0664062
506397,-0.0322266,-1.04248,0.0734863
510318,-0.0322266,-1.04248,0.0749512
514254,-0.0437012,-1.00366,0.0749512
518248,-0.00732422,-0.938721,0.0563965
522237,-0.0698242,-0.938721,0.0563965
526119,-0.0544434,-1.05029,0.0522461
530044,-0.0544434,-1.03271,0.0859375
533974,-0.0786133,-1.03271,0.0859375
537942,-0.0727539,-1.07666,0.0683594
541870,-0.0727539,-1.18677,0.0397949
545807,-0.108643,-1.18677,0.0397949
549759,-0.0102539,-0.994629,0.0961914
553717,-0.0102539,-1.18579,0.0256348
557645,-0.0532227,-1.18579,0.0256348
561621,-0.0266113,-0.966064,0.0932617
565537,-0.0266113,-0.938477,0.083252
569428,-0.0283203,-1.12598,0.083252
573372,-0.102539,-1.10718,0.0483398
577285,-0.102539,-1.12329,0.0825195
581221,-0.0617676,-0.998291,0.0825195
585233,-0.103271,-1.15967,0.0297852
589226,-0.103271,-1.18628,0.088623
593171,-0.0793457,-0.873779,0.088623
597117,-0.0671387,-1.02759,0.102539
601044,-0.0671387,-1.02051,0.0539551
604993,-0.10498,-1.02051,0.0539551
608911,-0.0710449,-0.813721,0.0754395
612830,-0.0710449,-0.813721,0.0625
616736,-0.0703125,-1.07812,0.0625
620688,-0.0742188,-0.839844,0.0661621
624633,-0.0742188,-0.839844,0.0668945
628605,-0.107422,-1.11499,0.0668945
632511,-0.129395,-1.06763,0.059082
636445,-0.129395,-1.06763,0.012207
640389,-0.105957,-0.970459,0.074707
644325,-0.0861816,-1.17969,0.0612793
648284,-0.0861816,-1.17969,0.0170898
652227,-0.0666504,-0.874512,0.0795898
656160,-0.0742188,-1.11865,0.0668945
660098,-0.0742188,-1.11865,0.076416
664016,-0.103027,-1.11328,0.076416
667951,-0.107422,-0.958008,0.109375
671908,-0.0449219,-0.958008,0.109375
675806,-0.0935059,-1.0437,0.0383301
679753,-0.0935059,-0.894043,0.0612793
683687,-0.115723,-0.894043,0.0612793
687648,-0.0888672,-1.07422,0.095459
691633,-0.0888672,-1.17676,0.0473633
695610,-0.172607,-1.17676,0.0473633
699541,-0.143555,-1.06177,0.0517578
703517,-0.143555,-1.13721,0.0646973
707436,-0.0791016,-1.13721,0.0646973
