time,a_x,a_y,a_z,F_x,F_y,F_z,T_x,T_y,T_z,z_1,z_2,z_3,z_4,z_5,z_6
0,-0.0175781,-0.993652,0.0722656,-0.190451,-0.899815,10.1437,0.425679,-1.0967,-0.148439,-0.351166,-9.9847,10.8044,0.825414,-1.10377,-0.148439
423,-0.0175781,-0.993652,0.0722657,-0.190451,-0.899815,10.1437,0.425679,-1.0967,-0.148439,-0.351166,-9.98469,10.8044,0.825414,-1.10377,-0.148439
1860,-0.0175781,-0.993652,0.0722657,-0.1904,-0.902554,10.1443,0.425677,-1.0967,-0.148545,-0.351115,-9.98743,10.805,0.825412,-1.10377,-0.148545
2637,0.374661,-0.29332,0.0606153,-0.1904,-0.902553,10.1443,0.425677,-1.0967,-0.148545,3.2351,-3.58435,10.6985,0.543677,-0.945975,-0.148545
3291,0.374661,-0.29332,0.0606153,-0.187784,-0.905559,10.145,0.425683,-1.09669,-0.148314,3.23771,-3.58736,10.6992,0.543682,-0.945966,-0.148314
4707,0.374661,-0.29332,0.0606154,-0.186587,-0.905561,10.1458,0.425668,-1.09668,-0.148175,3.23891,-3.58736,10.7,0.543667,-0.945961,-0.148175
6144,0.374661,-0.293319,0.0606155,-0.189578,-0.905567,10.1457,0.425699,-1.09667,-0.148216,3.23592,-3.58736,10.6999,0.543698,-0.945948,-0.148216
6583,0.727874,-0.00893917,0.0423659,-0.189578,-0.905567,10.1457,0.425699,-1.09667,-0.148216,6.46531,-0.987297,10.5331,0.429295,-0.803855,-0.148216
7600,0.727874,-0.00893905,0.0423659,-0.198583,-0.910581,10.1456,0.42568,-1.0967,-0.148289,6.45631,-0.99231,10.5329,0.429277,-0.803882,-0.148289
9021,0.727874,-0.00893893,0.042366,-0.201829,-0.914519,10.1462,0.425691,-1.0967,-0.14819,6.45306,-0.996247,10.5336,0.429287,-0.803886,-0.14819
10157,0.727874,-0.00893893,0.042366,-0.201829,-0.914519,10.1462,0.425691,-1.0967,-0.14819,6.45306,-0.996247,10.5336,0.429287,-0.803886,-0.14819
10447,0.727874,-0.00893913,0.0423657,-0.203171,-0.913878,10.1453,0.425683,-1.09672,-0.148137,6.45172,-0.995607,10.5326,0.429279,-0.803906,-0.148137
10529,0.882547,0.0516384,0.0298731,-0.203171,-0.913878,10.1453,0.425683,-1.09672,-0.148137,7.86589,-0.441752,10.4184,0.40491,-0.741683,-0.148137
11906,0.882547,0.0516383,0.0298728,-0.202174,-0.912675,10.1492,0.42569,-1.09669,-0.148129,7.86688,-0.440551,10.4224,0.404916,-0.741655,-0.148129
13346,0.882547,0.0516381,0.0298724,-0.206648,-0.920724,10.1522,0.425694,-1.09674,-0.148081,7.86241,-0.448601,10.4253,0.404921,-0.741704,-0.148081
14463,0.948136,0.0672269,0.0225882,-0.206648,-0.920724,10.1522,0.425694,-1.09674,-0.148081,8.46208,-0.306074,10.3587,0.39865,-0.715318,-0.148081
14782,0.948136,0.0672267,0.0225879,-0.212089,-0.925829,10.1539,0.425699,-1.09677,-0.148193,8.45664,-0.311181,10.3604,0.398655,-0.71535,-0.148193
16187,0.948136,0.0672265,0.0225876,-0.214169,-0.924723,10.1556,0.425729,-1.09685,-0.148078,8.45456,-0.310076,10.3621,0.398685,-0.715427,-0.148078
17631,0.948136,0.0672263,0.0225873,-0.21671,-0.92798,10.1561,0.425732,-1.09684,-0.148144,8.45202,-0.313335,10.3626,0.398687,-0.715415,-0.148144
18404,0.973997,0.0706019,0.0208376,-0.21671,-0.92798,10.1561,0.425732,-1.09684,-0.148144,8.68847,-0.282472,10.3466,0.397329,-0.705011,-0.148144
19039,0.973997,0.0706017,0.0208373,-0.22165,-0.929886,10.1565,0.425719,-1.09689,-0.148235,8.68353,-0.28438,10.347,0.397317,-0.705067,-0.148235
20348,0.973997,0.0706017,0.0208373,-0.22165,-0.929886,10.1565,0.425719,-1.09689,-0.148235,8.68353,-0.28438,10.347,0.397317,-0.705067,-0.148235
20483,0.973997,0.0706018,0.0208376,-0.222206,-0.930775,10.157,0.425688,-1.09691,-0.148101,8.68297,-0.285268,10.3475,0.397286,-0.705082,-0.148101
21916,0.973997,0.0706019,0.0208379,-0.221872,-0.929753,10.1565,0.425754,-1.09699,-0.147976,8.68331,-0.284246,10.347,0.397351,-0.705159,-0.147976
22335,0.981927,0.0690363,0.01492,-0.221872,-0.929753,10.1565,0.425754,-1.09699,-0.147976,8.75581,-0.29856,10.2929,0.397981,-0.701969,-0.147976
23329,0.981927,0.0690363,0.0149203,-0.226035,-0.929559,10.1637,0.425872,-1.09701,-0.148007,8.75165,-0.298366,10.3001,0.398099,-0.701997,-0.148007
24772,0.981927,0.0690364,0.0149206,-0.232159,-0.92167,10.1652,0.425928,-1.09713,-0.147996,8.74553,-0.290476,10.3016,0.398156,-0.702112,-0.147996
26240,0.981927,0.0690365,0.0149209,-0.228195,-0.923709,10.1656,0.425958,-1.09716,-0.147852,8.74949,-0.292514,10.302,0.398186,-0.702147,-0.147852
26310,0.987578,0.0740623,0.0117314,-0.228195,-0.923709,10.1656,0.425958,-1.09716,-0.147852,8.80115,-0.246563,10.2728,0.396164,-0.699874,-0.147852
27675,0.987578,0.0740624,0.0117317,-0.224053,-0.926572,10.1639,0.425961,-1.09713,-0.14796,8.80529,-0.249426,10.2711,0.396167,-0.699843,-0.14796
29064,0.987578,0.0740625,0.011732,-0.224161,-0.924533,10.1654,0.425957,-1.09719,-0.147875,8.80518,-0.247386,10.2727,0.396163,-0.6999,-0.147875
30133,0.987578,0.0740625,0.011732,-0.224161,-0.924533,10.1654,0.425957,-1.09719,-0.147875,8.80518,-0.247386,10.2727,0.396163,-0.6999,-0.147875
30227,0.989782,0.0751407,0.0127442,-0.224161,-0.924533,10.1654,0.425957,-1.09719,-0.147875,8.82534,-0.237527,10.2819,0.395729,-0.699014,-0.147875
30507,0.989782,0.0751407,0.0127442,-0.228665,-0.928763,10.1638,0.426018,-1.09724,-0.147968,8.82083,-0.241757,10.2803,0.395789,-0.699058,-0.147968
31936,0.989782,0.0751407,0.0127442,-0.231034,-0.930322,10.1653,0.426096,-1.0973,-0.147972,8.81846,-0.243317,10.2818,0.395867,-0.699123,-0.147972
33372,0.989782,0.0751407,0.0127442,-0.227205,-0.933192,10.1646,0.42608,-1.09728,-0.148033,8.82229,-0.246186,10.2811,0.395852,-0.699106,-0.148033
34149,0.991686,0.0684918,0.0134001,-0.227205,-0.933192,10.1646,0.42608,-1.09728,-0.148033,8.8397,-0.306976,10.2871,0.398526,-0.698341,-0.148033
34789,0.991686,0.0684918,0.0134001,-0.22034,-0.924375,10.1717,0.426153,-1.09723,-0.148194,8.84656,-0.298159,10.2942,0.3986,-0.698291,-0.148194
36228,0.991686,0.0684918,0.0134001,-0.219222,-0.927511,10.1692,0.426138,-1.09723,-0.148225,8.84768,-0.301296,10.2917,0.398584,-0.698291,-0.148225
37664,0.991686,0.0684918,0.0134001,-0.216505,-0.923961,10.1691,0.426159,-1.09723,-0.147951,8.8504,-0.297746,10.2916,0.398605,-0.698291,-0.147951
38103,0.991249,0.0685794,0.0137529,-0.216505,-0.923961,10.1691,0.426159,-1.09723,-0.147951,8.8464,-0.296945,10.2948,0.39857,-0.698466,-0.147951
39105,0.991249,0.0685794,0.0137529,-0.215231,-0.922199,10.1669,0.426117,-1.09728,-0.147979,8.84768,-0.295183,10.2927,0.398528,-0.698512,-0.147979
