time,fx,fy,fz,tx,ty,tz
423,-0.190451,-0.899815,10.1437,0.425679,-1.0967,-0.148439
1860,-0.189985,-0.910656,10.1657,0.425549,-1.09593,-0.148938
3291,-0.174468,-0.911657,10.16,0.425958,-1.09561,-0.147767
4707,-0.18179,-0.905563,10.1596,0.425161,-1.09628,-0.147899
6144,-0.20002,-0.905579,10.1442,0.426503,-1.09583,-0.14829
7600,-0.227589,-0.918657,10.1441,0.425284,-1.09813,-0.148418
9021,-0.211887,-0.920853,10.1523,0.425898,-1.09693,-0.148017
10447,-0.207239,-0.912848,10.137,0.425546,-1.0975,-0.148043
11906,-0.199208,-0.910762,10.1823,0.425785,-1.0957,-0.148117
13346,-0.219866,-0.933542,10.1754,0.425761,-1.09833,-0.147996
14782,-0.228118,-0.933974,10.1671,0.425764,-1.09773,-0.148389
16187,-0.220321,-0.922941,10.168,0.426109,-1.09898,-0.147876
17631,-0.224184,-0.933185,10.1596,0.425766,-1.09651,-0.148258
19039,-0.236243,-0.932953,10.1596,0.425566,-1.09827,-0.148394
20483,-0.223842,-0.932195,10.1602,0.425339,-1.09727,-0.147869
21916,-0.22089,-0.92812,10.1531,0.426485,-1.09872,-0.147758
23329,-0.238313,-0.929248,10.2136,0.427164,-1.09762,-0.148061
24772,-0.250154,-0.909064,10.1757,0.426539,-1.09954,-0.147976
26240,-0.216621,-0.926939,10.1684,0.426276,-1.09788,-0.147606
27675,-0.21193,-0.931131,10.1521,0.425993,-1.09653,-0.148146
29064,-0.224479,-0.921239,10.1758,0.425916,-1.0983,-0.147727
30507,-0.241915,-0.935535,10.1526,0.426643,-1.09808,-0.14813
31936,-0.238005,-0.932819,10.1758,0.426895,-1.09851,-0.147979
33372,-0.215954,-0.937779,10.1598,0.42592,-1.09698,-0.148138
34789,-0.200111,-0.910217,10.2201,0.4269,-1.09633,-0.148474
36228,-0.215934,-0.932527,10.152,0.425982,-1.09724,-0.14828
37664,-0.208524,-0.918289,10.1685,0.426369,-1.09723,-0.147476
39105,-0.211496,-0.919389,10.1523,0.425696,-1.09807,-0.148027
40537,-0.238065,-0.927934,10.1456,0.42673,-1.09839,-0.147747
41958,-0.190688,-0.938654,10.1362,0.42609,-1.0969,-0.148582
43404,-0.166834,-0.917266,10.1591,0.426979,-1.09532,-0.148432
44834,-0.186663,-0.937126,10.1445,0.425885,-1.09632,-0.148044
46273,-0.175075,-0.912431,10.1442,0.426606,-1.09498,-0.148174
47688,-0.194298,-0.926397,10.1294,0.425143,-1.09674,-0.147926
49148,-0.159149,-0.917118,10.1522,0.42741,-1.09567,-0.148053
50557,-0.19916,-0.933937,10.1448,0.425721,-1.09655,-0.147902
51988,-0.216031,-0.928356,10.1371,0.42581,-1.09661,-0.148027
53424,-0.195463,-0.908328,10.1292,0.426021,-1.09562,-0.148046
54838,-0.170866,-0.889622,10.1676,0.426441,-1.09582,-0.147763
56285,-0.124573,-0.898874,10.1579,0.426478,-1.09166,-0.148705
57754,-0.165796,-0.907632,10.1743,0.425995,-1.09521,-0.148284
59159,-0.183416,-0.920734,10.1371,0.426517,-1.09588,-0.147918
60579,-0.233024,-0.921798,10.1611,0.425699,-1.09756,-0.147333
62023,-0.269721,-0.901319,10.1456,0.425557,-1.10298,-0.147889
