time,ax,ay,az
1298,-0.0212402,-0.985596,0.0754395
5204,-0.019043,-0.985352,0.0749512
9141,-0.019043,-0.985596,0.0749512
13104,-0.0192871,-0.985596,0.0749512
17071,-0.00805664,-0.991211,0.0678711
20967,-0.00805664,-0.988037,0.0751953
24902,-0.00976563,-0.988037,0.0751953
28843,-0.00878906,-1.00439,0.0695801
32799,-0.00878906,-1.01123,0.0690918
36727,-0.0119629,-1.01123,0.0690918
40648,-0.0197754,-0.987305,0.0520019
44585,-0.0197754,-0.98291,0.0695801
48545,-0.0153809,-0.98291,0.0695801
52468,-0.0212402,-0.978271,0.0627441
56411,-0.0212402,-0.97998,0.0617676
60366,-0.0288086,-0.97998,0.0617676
64308,-0.0168457,-0.978271,0.072998
68252,-0.0168457,-0.982178,0.0712891
72187,-0.0249023,-0.982178,0.0712891
76124,-0.0205078,-0.994873,0.0693359
80060,-0.0205078,-0.994873,0.0803223
84007,-0.0109863,-0.988037,0.0803223
87961,-0.0131836,-1.01099,0.0681152
91869,-0.0131836,-1.01099,0.065918
95896,-0.0158691,-0.989746,0.065918
99878,-0.0134277,-0.995117,0.0756836
103781,-0.0134277,-0.995117,0.0610352
107705,-0.0344238,-0.990234,0.0610352
111696,-0.0214844,-0.975586,0.0617676
115609,-0.0214844,-0.975586,0.0661621
119542,-0.0205078,-0.985596,0.0661621
123480,-0.0185547,-0.96875,0.0683594
127443,-0.0185547,-0.96875,0.0644531
131354,-0.0166016,-1.02368,0.0644531
135295,-0.0065918,-1.00464,0.0739746
139205,-0.0065918,-1.00464,0.0710449
143137,-0.00854492,-1.06348,0.0710449
147077,-0.00561523,-1.01831,0.0751953
150960,-0.00561523,-1.01831,0.0751953
154888,-0.00292969,-1.06055,0.076416
158804,-0.00292969,-1.04224,0.0700684
162729,-0.015625,-1.04224,0.0700684
166663,-0.0129394,-1.00806,0.0703125
170562,-0.0129394,-1.05469,0.0603027
174490,-0.0224609,-1.05469,0.0603027
178430,-0.0222168,-0.958984,0.0546875
182378,-0.0222168,-0.960693,0.0656738
186308,-0.0166016,-1.02319,0.0656738
190313,-0.00976563,-0.981445,0.0700684
194305,-0.00976563,-0.939453,0.0681152
198224,-0.0253906,-1.00195,0.0681152
202152,-0.0104981,-1.03296,0.0720215
206080,-0.0104981,-1.04541,0.0637207
210017,-0.0119629,-0.98291,0.0637207
213951,-0.0148926,-1.03784,0.0732422
217881,-0.0148926,-1.0105,0.0749512
221818,0.00024414,-1.0105,0.0749512
225770,-0.0112305,-0.966797,0.0756836
229710,-0.0112305,-0.966797,0.0661621
233605,-0.00463867,-1.02588,0.0661621
237547,-0.019043,-0.976318,0.0617676
241502,-0.019043,-0.976318,0.0622559
245433,-0.0236816,-0.997314,0.0622559
249375,-0.0288086,-1.01538,0.0690918
253324,-0.0288086,-1.01538,0.0688477
257276,-0.0302734,-0.979736,0.0688477
261243,-0.032959,-1.06299,0.0749512
265220,-0.032959,-1.06299,0.0744629
269097,-0.0334473,-1.04663,0.0744629
273036,-0.0124512,-1.07544,0.0722656
276963,-0.0124512,-1.07544,0.067627
280890,-0.017334,-1.0481,0.067627
284809,-0.059082,-1.01953,0.0703125
288712,0.00341797,-1.01953,0.0703125
292676,-0.0214844,-1.08154,0.0739746
296573,-0.0214844,-1.02075,0.0722656
300565,-0.0168457,-1.02075,0.0722656
304513,-0.0270996,-1.07568,0.0600586
308460,-0.0270996,-0.995361,0.0656738
312403,-0.0219727,-0.995361,0.0656738
316347,-0.0280762,-1.00879,0.0625
320264,-0.0280762,-1.04419,0.0737305
324199,-0.0310059,-1.04419,0.0737305
328157,-0.032959,-0.987793,0.0754395
332138,-0.032959,-0.9646,0.0568848
336042,-0.0422363,-1.0271,0.0568848
339998,-0.0214844,-1.00854,0.0742188
343918,-0.0214844,-1.04419,0.0739746
347910,-0.027832,-0.981689,0.0739746
351801,-0.0200195,-1.02295,0.0771484
355744,-0.0200195,-1.00366,0.0673828
359646,-0.0300293,-1.00366,0.0673828
363586,-0.0268555,-1.01099,0.0725098
367515,-0.0268555,-1.01099,0.0595703
371441,-0.0412598,-1.01855,0.0595703
375430,-0.0512695,-1.05957,0.0617676
379327,-0.0512695,-1.05957,0.0654297
383261,-0.0368652,-1.06299,0.0654297
387179,-0.0446777,-1.04272,0.0632324
391130,-0.0446777,-1.04272,0.0620117
395049,-0.0402832,-1.0896,0.0620117
398950,-0.0192871,-1.03369,0.0720215
402886,-0.0192871,-1.03369,0.0639648
406831,-0.0263672,-1.07642,0.0639648
410802,-0.0180664,-1.05615,0.0712891
414730,-0.0180664,-1.05615,0.0810547
418664,-0.0266113,-1.03174,0.0810547
422580,-0.0246582,-1.0564,0.0666504
426512,-0.0246582,-1.0564,0.0666504
430437,-0.0354004,-1.05957,0.0671387
434364,-0.0354004,-1.01294,0.0705566
438304,-0.0297852,-1.01294,0.0705566
442224,-0.0473633,-1.04517,0.059082
446172,-0.0473633,-0.980225,0.0678711
450111,-0.0341797,-0.980225,0.0678711
454034,-0.043457,-1.01758,0.059082
457986,-0.043457,-0.962891,0.0620117
461925,-0.0305176,-0.962891,0.0620117
465829,-0.0305176,-0.968018,0.0605469
469767,-0.0305176,-0.947754,0.0644531
473708,-0.0383301,-1.01025,0.0644531
477651,-0.0512695,-1.00635,0.064209
481563,-0.0512695,-1.03906,0.0632324
485488,-0.0622559,-1.10156,0.0632324
489409,-0.0671387,-1.07642,0.0693359
493340,-0.0671387,-1.07642,0.0617676
497277,-0.048584,-1.0835,0.0617676
501211,-0.0556641,-1.11646,0.0737305
505132,-0.0556641,-1.11646,0.0842285
509065,-0.0217285,-1.05518,0.0842285
513016,-0.0397949,-1.11279,0.0722656
516973,-0.0397949,-1.11279,0.0639648
520948,-0.0412598,-1.03442,0.0639648
524887,-0.0375977,-1.04541,0.0751953
528815,-0.0375977,-1.04541,0.0668945
532753,-0.0556641,-1.04199,0.0668945
536690,-0.0595703,-0.975342,0.0632324
540642,-0.0595703,-0.975342,0.0773926
544583,-0.0668945,-1.04614,0.0773926
548529,-0.112305,-0.960938,0.067627
552460,-0.0498047,-0.960938,0.115479
556416,-0.0588379,-0.963379,0.0529785
560368,-0.00292969,-0.998047,0.0634766
564370,-0.0654297,-0.998047,0.0634766
568250,-0.0703125,-0.964111,0.0664062
572180,-0.0930176,-1.0166,0.0673828
576107,-0.0930176,-1.0166,0.0673828
