time,a_x,a_y,a_z,F_x,F_y,F_z,T_x,T_y,T_z,z_1,z_2,z_3,z_4,z_5,z_6
0,-0.0212402,-0.985596,0.0754395,-0.10509,-0.968261,10.0837,0.427587,-1.09321,-0.147894,-0.299287,-9.97949,10.7734,0.824081,-1.10175,-0.147894
142,-0.0212402,-0.985596,0.0754395,-0.10509,-0.968261,10.0837,0.427587,-1.09321,-0.147894,-0.299287,-9.97949,10.7734,0.824081,-1.10175,-0.147894
1298,0.463717,-0.308593,0.0551087,-0.10509,-0.968261,10.0837,0.427587,-1.09321,-0.147894,4.13464,-3.7897,10.5875,0.55173,-0.906662,-0.147894
1436,0.463717,-0.308593,0.0551016,-0.108837,-0.9661,10.0882,0.427596,-1.09326,-0.147921,4.13089,-3.78754,10.5919,0.551739,-0.906707,-0.147921
2897,0.463717,-0.308593,0.0550945,-0.114894,-0.968511,10.0876,0.427613,-1.09334,-0.148045,4.12483,-3.78995,10.5913,0.551756,-0.906791,-0.148045
4324,0.463717,-0.308593,0.0550874,-0.120767,-0.973004,10.0908,0.42766,-1.0934,-0.148113,4.11896,-3.79444,10.5945,0.551803,-0.906853,-0.148113
5204,0.769195,-0.011157,0.0393687,-0.120767,-0.973004,10.0908,0.42766,-1.0934,-0.148113,6.91192,-1.07501,10.4508,0.432148,-0.783963,-0.148113
5749,0.769195,-0.0111571,0.0393616,-0.128348,-0.971999,10.09,0.427676,-1.09355,-0.148027,6.90434,-1.07401,10.4499,0.432165,-0.784114,-0.148027
7180,0.769195,-0.0111571,0.0393545,-0.137926,-0.967313,10.092,0.427608,-1.09371,-0.148199,6.89476,-1.06932,10.4518,0.432096,-0.784268,-0.148199
8598,0.769195,-0.0111572,0.0393474,-0.150572,-0.975843,10.0919,0.427594,-1.09391,-0.148214,6.88211,-1.07785,10.4517,0.432082,-0.784469,-0.148214
9141,0.899878,0.0562887,0.0300915,-0.150572,-0.975843,10.0919,0.427594,-1.09391,-0.148214,8.07694,-0.4612,10.3671,0.404949,-0.731897,-0.148214
9816,0.899878,0.0562887,0.0300915,-0.150572,-0.975843,10.0919,0.427594,-1.09391,-0.148214,8.07694,-0.4612,10.3671,0.404949,-0.731897,-0.148214
10023,0.899878,0.056289,0.0300867,-0.156648,-0.967589,10.0966,0.427519,-1.09406,-0.148355,8.07086,-0.452943,10.3717,0.404875,-0.732048,-0.148355
11448,0.899878,0.0562892,0.030082,-0.175276,-0.937672,10.1101,0.42688,-1.09426,-0.148353,8.05223,-0.423024,10.3852,0.404236,-0.732248,-0.148353
12886,0.899878,0.0562895,0.0300772,-0.209127,-0.982698,10.1187,0.427607,-1.09477,-0.14859,8.01838,-0.468048,10.3937,0.404963,-0.732763,-0.14859
13104,0.951968,0.0709298,0.0250874,-0.209127,-0.982698,10.1187,0.427607,-1.09477,-0.14859,8.49464,-0.334193,10.3481,0.399073,-0.711808,-0.14859
14319,0.951968,0.07093,0.0250827,-0.228208,-0.981011,10.1278,0.427658,-1.09519,-0.14879,8.47556,-0.332503,10.3571,0.399124,-0.712219,-0.14879
15738,0.951968,0.0709303,0.0250779,-0.215814,-0.96028,10.1385,0.427271,-1.09517,-0.148683,8.48796,-0.311771,10.3678,0.398737,-0.712201,-0.148683
17071,0.975845,0.0685298,0.017174,-0.215814,-0.96028,10.1385,0.427271,-1.09517,-0.148683,8.70625,-0.333718,10.2955,0.399703,-0.702596,-0.148683
17180,0.975845,0.06853,0.0171693,-0.196562,-0.998653,10.121,0.428097,-1.09508,-0.148655,8.72551,-0.372089,10.2779,0.400528,-0.702508,-0.148655
18627,0.975845,0.0685303,0.0171645,-0.192335,-0.912812,10.1305,0.427336,-1.09513,-0.148413,8.72973,-0.286245,10.2875,0.399767,-0.702557,-0.148413
20054,0.975845,0.0685303,0.0171645,-0.192335,-0.912812,10.1305,0.427336,-1.09513,-0.148413,8.72973,-0.286245,10.2875,0.399767,-0.702557,-0.148413
20055,0.975845,0.0685301,0.0171376,-0.219709,-0.870204,10.1332,0.42621,-1.09555,-0.148019,8.70236,-0.243639,10.2899,0.398641,-0.702976,-0.148019
20967,0.983232,0.0737443,0.0129214,-0.219709,-0.870205,10.1331,0.42621,-1.09555,-0.148019,8.76991,-0.195966,10.2513,0.396544,-0.700004,-0.148019
21492,0.983232,0.0737441,0.0128945,-0.255635,-0.964531,10.137,0.427486,-1.09596,-0.148411,8.73398,-0.290295,10.2549,0.397819,-0.70042,-0.148411
22912,0.983232,0.0737439,0.0128676,-0.276192,-0.944645,10.1507,0.427028,-1.09652,-0.148361,8.71342,-0.270411,10.2684,0.397362,-0.700981,-0.148361
24363,0.983232,0.0737437,0.0128408,-0.26399,-0.981017,10.161,0.42758,-1.09654,-0.148195,8.72562,-0.306784,10.2784,0.397913,-0.700995,-0.148195
24902,0.986149,0.074881,0.0114013,-0.26399,-0.981017,10.161,0.42758,-1.09654,-0.148195,8.75229,-0.296386,10.2652,0.397456,-0.699821,-0.148195
25808,0.986149,0.0748808,0.0113744,-0.249906,-0.988153,10.1541,0.42786,-1.09656,-0.148244,8.76637,-0.303524,10.2581,0.397736,-0.699842,-0.148244
27241,0.986149,0.0748806,0.0113475,-0.26201,-0.897386,10.1494,0.426534,-1.09692,-0.148409,8.75427,-0.212758,10.2532,0.396411,-0.700201,-0.148409
28643,0.986149,0.0748804,0.0113206,-0.292035,-0.905553,10.1472,0.42658,-1.09742,-0.148099,8.72424,-0.220928,10.2507,0.396457,-0.700702,-0.148099
28843,0.997228,0.0707261,0.0101321,-0.292035,-0.905554,10.1472,0.42658,-1.09742,-0.148099,8.82554,-0.258911,10.2398,0.398128,-0.696245,-0.148099
29738,0.997228,0.0707261,0.0101321,-0.292035,-0.905554,10.1472,0.42658,-1.09742,-0.148099,8.82554,-0.258911,10.2398,0.398128,-0.696245,-0.148099
30076,0.997228,0.0707262,0.0101266,-0.300251,-0.895847,10.1469,0.426157,-1.0977,-0.148052,8.81732,-0.249203,10.2395,0.397705,-0.696529,-0.148052
31518,0.997228,0.0707262,0.0101212,-0.287968,-0.929725,10.1498,0.42637,-1.09797,-0.147987,8.82961,-0.283081,10.2423,0.397918,-0.696799,-0.147987
32799,1.00574,0.0694444,0.00949973,-0.287968,-0.929725,10.1498,0.42637,-1.09797,-0.147987,8.90744,-0.294801,10.2366,0.398434,-0.693374,-0.147987
32984,1.00574,0.0694444,0.00949428,-0.263026,-0.982376,10.1466,0.427249,-1.09785,-0.147767,8.93238,-0.347451,10.2334,0.399312,-0.693249,-0.147767
34371,1.00574,0.0694445,0.00948884,-0.258263,-0.916669,10.147,0.42637,-1.09782,-0.148044,8.93714,-0.281743,10.2337,0.398433,-0.693221,-0.148044
35809,1.00574,0.0694446,0.0094834,-0.259875,-0.885227,10.1386,0.425906,-1.098,-0.148395,8.93553,-0.250301,10.2253,0.397969,-0.693402,-0.148395
36727,1.00907,0.0691682,0.0106302,-0.259875,-0.885227,10.1386,0.425906,-1.098,-0.148395,8.966,-0.252827,10.2357,0.398081,-0.692062,-0.148395
