time,r11,r12,r13,r21,r22,r23,r31,r32,r33
142,1.91548e-07,-1,3.67321e-06,7.17607e-05,-3.67319e-06,-1,1,1.91812e-07,7.17607e-05
9816,2.39367e-07,-1,3.67321e-06,7.86516e-05,-3.67319e-06,-1,1,2.39656e-07,7.86516e-05
20054,-3.05876e-10,-1,3.67321e-06,8.32722e-05,-3.67321e-06,-1,1,3.88578e-16,8.32722e-05
29738,1.9141e-07,-1,3.67321e-06,0.000109331,-3.67318e-06,-1,1,1.91812e-07,0.000109331
40026,1.19461e-07,-1,3.67321e-06,0.000114605,-3.67319e-06,-1,1,1.19882e-07,0.000114605
50126,1.19463e-07,-1,3.67321e-06,0.000113945,-3.67319e-06,-1,1,1.19882e-07,0.000113945
59829,1.16304e-08,-1,3.67321e-06,0.000112328,-3.6732e-06,-1,1,1.2043e-08,0.000112328
70031,-1.80168e-07,-1,3.67321e-06,0.000108552,-3.67322e-06,-1,1,-1.79769e-07,0.000108552
80098,-3.75625e-10,-1,3.67321e-06,0.000102261,-3.67321e-06,-1,1,-5.55112e-16,0.000102261
89883,-3.30503e-10,-1,3.67321e-06,8.99766e-05,-3.67321e-06,-1,1,-1.66533e-16,8.99766e-05
99983,-2.42683e-10,-1,3.67321e-06,6.60682e-05,-3.67321e-06,-1,1,-5.55112e-17,6.60682e-05
110189,-1.94651e-10,-1,3.67321e-06,5.29917e-05,-3.67321e-06,-1,1,-8.88178e-16,5.29917e-05
119853,-1.20068e-07,-1,3.67321e-06,5.0701e-05,-3.67321e-06,-1,1,-1.19882e-07,5.0701e-05
130007,-2.86036e-10,-1,3.67321e-06,7.7871e-05,-3.67321e-06,-1,1,-1.11022e-16,7.7871e-05
139717,1.91342e-07,-1,3.67321e-06,0.000127917,-3.67318e-06,-1,1,1.91812e-07,0.000127917
149804,7.11153e-08,-1,3.6732e-06,0.000221799,-3.67319e-06,-1,1,7.193e-08,0.000221799
159882,-1.33133e-09,-1,3.6732e-06,0.000362444,-3.67321e-06,-1,1,-2.22045e-16,0.000362444
169710,-2.06749e-09,-1,3.6732e-06,0.000562857,-3.67321e-06,-1,1,-4.44089e-16,0.000562857
179772,1.88809e-07,-1,3.6732e-06,0.00081765,-3.67305e-06,-1,1,1.91812e-07,0.00081765
189995,-4.07261e-09,-1,3.6732e-06,0.00110874,-3.67321e-06,-0.999999,0.999999,-4.44089e-16,0.00110874
200112,-1.25099e-07,-1,3.6732e-06,0.00142036,-3.67338e-06,-0.999999,0.999999,-1.19882e-07,0.00142036
209827,1.13376e-07,-1,3.6732e-06,0.00177121,-3.67299e-06,-0.999998,0.999998,1.19882e-07,0.00177121
220043,-7.83173e-09,-1,3.6732e-06,0.00213212,-3.67321e-06,-0.999998,0.999998,-1.11022e-16,0.00213212
