time,fx,fy,fz,tx,ty,tz
0,-0.10509,-0.968261,10.0837,0.427587,-1.09321,-0.147894
1436,-0.12181,-0.961933,10.1218,0.427693,-1.09403,-0.147976
2897,-0.134295,-0.97262,10.0835,0.427795,-1.09476,-0.148276
4324,-0.138893,-0.980375,10.1141,0.428153,-1.09444,-0.148236
5749,-0.151273,-0.970373,10.0843,0.427848,-1.09608,-0.147875
7180,-0.166531,-0.959783,10.106,0.426898,-1.09628,-0.148499
8598,-0.188167,-0.989563,10.0917,0.427448,-1.09726,-0.14824
10023,-0.174641,-0.954333,10.1287,0.426758,-1.09657,-0.148601
11448,-0.230325,-0.889654,10.2038,0.420363,-1.09758,-0.148351
12886,-0.308811,-1.0547,10.1774,0.43499,-1.10328,-0.149001
14319,-0.284338,-0.978314,10.1902,0.428173,-1.10196,-0.149137
15738,-0.179287,-0.927008,10.2115,0.423363,-1.09487,-0.148496
17180,-0.139992,-1.05995,10.0016,0.43642,-1.09364,-0.148608
18627,-0.179948,-0.776121,10.1956,0.419682,-1.09593,-0.147994
20055,-0.30009,-0.802092,10.1513,0.41491,-1.1024,-0.147333
21492,-0.36108,-1.11518,10.1637,0.440272,-1.10275,-0.149091
22912,-0.336691,-0.912751,10.2438,0.422446,-1.10568,-0.148274
24363,-0.228221,-1.03896,10.2308,0.433093,-1.09676,-0.147909
25808,-0.208668,-0.999511,10.1076,0.43066,-1.0969,-0.148329
27241,-0.297505,-0.752505,10.1182,0.413295,-1.10274,-0.148694
28643,-0.380633,-0.918714,10.1322,0.427041,-1.10558,-0.147558
30076,-0.324448,-0.880282,10.1448,0.421922,-1.10232,-0.14797
31518,-0.251893,-0.983824,10.1694,0.428503,-1.10235,-0.147873
32984,-0.190185,-1.06578,10.1256,0.436003,-1.09581,-0.147388
34371,-0.244204,-0.810672,10.1493,0.417584,-1.09737,-0.148529
35809,-0.264619,-0.834853,10.0815,0.421274,-1.10094,-0.149006
37238,-0.231302,-0.866664,10.0534,0.424143,-1.09815,-0.147722
38689,-0.17225,-0.809158,10.1103,0.416834,-1.09455,-0.148615
40118,-0.150489,-1.00695,10.0847,0.431147,-1.09645,-0.148271
41538,-0.130075,-0.948264,10.1363,0.427649,-1.09306,-0.14834
42968,-0.136125,-0.858299,10.0819,0.42125,-1.09179,-0.147861
44407,-0.168651,-0.885558,10.0536,0.424491,-1.0985,-0.147518
45844,-0.102646,-0.776146,10.0577,0.417127,-1.0896,-0.147639
47258,-0.073428,-0.908248,10.0278,0.425391,-1.08896,-0.148743
48699,-0.053003,-0.980473,10.0679,0.429784,-1.09092,-0.148334
50134,-0.065402,-0.890878,10.0969,0.422304,-1.09323,-0.148053
51588,-0.081624,-0.96263,10.0346,0.429365,-1.08667,-0.149893
53017,-0.131839,-0.881879,10.0344,0.422935,-1.0983,-0.149685
54458,-0.045358,-0.834522,10.0652,0.418544,-1.08768,-0.147799
55864,-0.009468,-0.966415,10.0368,0.427905,-1.08751,-0.148118
57298,0.016657,-0.969985,10.0497,0.427603,-1.0854,-0.149298
58752,-0.085018,-0.96567,10.1227,0.42826,-1.09409,-0.147348
60175,-0.073996,-0.969849,10.0306,0.429054,-1.0889,-0.14768
61638,-0.16802,-0.9216,10.0602,0.424273,-1.09706,-0.148161
63083,-0.157503,-0.92646,10.0543,0.425301,-1.09554,-0.147108
64473,-0.099261,-0.920298,10.0746,0.425951,-1.09054,-0.148284
65914,-0.084458,-0.984559,10.0673,0.428015,-1.09052,-0.148569
67343,-0.088896,-1.01289,10.1229,0.431654,-1.09173,-0.147718
68797,-0.214812,-0.955142,10.1149,0.424824,-1.09848,-0.147674
70211,-0.184084,-0.943991,10.0904,0.427106,-1.0928,-0.148603
71618,-0.266538,-0.948369,10.093,0.426298,-1.10246,-0.147682
73052,-0.227405,-0.922346,10.152,0.424578,-1.0952,-0.14799
74493,-0.24867,-1.00651,10.1385,0.429539,-1.10186,-0.148301
75922,-0.150639,-1.01003,10.1613,0.430901,-1.09428,-0.147773
77342,-0.177876,-0.998231,10.1841,0.429326,-1.097,-0.147747
78783,-0.185313,-0.960775,10.1216,0.428454,-1.09519,-0.148454
80221,-0.285412,-0.926346,10.1459,0.424396,-1.10199,-0.147604
81690,-0.325227,-0.924723,10.146,0.426009,-1.10039,-0.147816
83068,-0.376922,-0.97349,10.1165,0.428133,-1.10683,-0.148249
84543,-0.372558,-0.984482,10.1619,0.427779,-1.1042,-0.148182
85944,-0.262233,-1.00639,10.1311,0.429997,-1.09967,-0.148146
87400,-0.139349,-0.980402,10.1441,0.428817,-1.09457,-0.148598
88803,-0.163085,-0.888242,10.12,0.423574,-1.09474,-0.148477
90248,-0.22294,-0.9225,10.0903,0.424781,-1.09691,-0.148604
91702,-0.3107,-0.915364,10.1293,0.424998,-1.10222,-0.148656
93112,-0.379786,-0.935372,10.1619,0.427065,-1.10798,-0.148206
94534,-0.261348,-0.980536,10.1229,0.429426,-1.10073,-0.148428
95971,-0.162339,-0.96182,10.1369,0.426874,-1.09684,-0.14821
97437,-0.05663,-0.910589,10.0815,0.425128,-1.08776,-0.148293
98847,-0.121628,-0.865857,10.0436,0.423775,-1.09401,-0.148459
100273,-0.088891,-0.839786,10.0043,0.420292,-1.08996,-0.148371
101690,-0.22532,-0.874606,9.98385,0.422705,-1.09744,-0.148196
103164,-0.288832,-0.888473,10.0295,0.424176,-1.10239,-0.148919
104567,-0.231244,-0.900707,10.0679,0.424614,-1.09836,-0.148368
106011,-0.127634,-0.929383,9.99938,0.425434,-1.09577,-0.148121
107447,0.01658,-0.876482,10.1104,0.423238,-1.08384,-0.14843
108871,0.015671,-0.873329,10.0498,0.424815,-1.09007,-0.148809
