time,ax,ay,az
0,-0.0109863,-0.998779,0.0876465
3993,-0.0126953,-0.992676,0.0893555
7905,-0.0126953,-0.996826,0.0930176
11875,-0.0104981,-0.996826,0.0930176
15825,-0.017334,-0.996582,0.0849609
19749,-0.017334,-0.99292,0.0888672
23694,-0.0112305,-0.99292,0.0888672
27709,-0.0104981,-0.992432,0.0895996
31657,-0.0104981,-0.998779,0.0991211
35653,-0.0158691,-0.998779,0.0991211
39538,-0.00512695,-1.00195,0.0930176
43476,-0.00512695,-1.00098,0.090332
47393,-0.0078125,-1.00098,0.090332
51291,-0.0107422,-1.00049,0.0898438
55254,-0.0107422,-1.05273,0.0900879
59184,-0.0102539,-0.990234,0.0900879
63139,-0.0119629,-0.996338,0.0900879
67045,-0.0119629,-0.996338,0.0915527
71001,-0.0114746,-0.993164,0.0915527
74944,-0.0124512,-0.987305,0.0908203
78873,-0.0124512,-0.987305,0.0942383
82789,-0.0136719,-1.01147,0.0942383
86755,-0.00805664,-0.989502,0.0949707
90702,-0.00805664,-0.989502,0.0917969
94618,-0.0100098,-1.01172,0.0917969
98556,-0.0102539,-0.98584,0.090332
102486,-0.0102539,-0.98584,0.0874023
106415,-0.0168457,-1.02075,0.0874023
110388,-0.0178223,-1.01489,0.0983887
114334,-0.0178223,-1.01489,0.0866699
118230,-0.00634766,-1.00903,0.0866699
122167,-0.0158691,-1.03979,0.0827637
126141,-0.0158691,-1.03979,0.0827637
130042,-0.00439453,-0.95752,0.0964355
133985,-0.0161133,-1.09863,0.0822754
137987,-0.0161133,-1.09863,0.0822754
141927,-0.00927734,-0.949707,0.0949707
145860,-0.00927734,-1.03418,0.0986328
149785,-0.0012207,-1.03418,0.0986328
153709,-0.0351562,-1.02759,0.0805664
157688,-0.0351562,-0.952881,0.102295
161615,-0.00268555,-0.952881,0.102295
165510,-0.0180664,-1.12036,0.088623
169481,-0.0180664,-0.956055,0.0944824
173414,-0.013916,-0.956055,0.0944824
177353,-0.00195313,-0.997559,0.10498
181277,-0.00195313,-0.961914,0.0817871
185178,-0.0266113,-1.02441,0.0817871
189113,-0.00341797,-0.936279,0.0932617
