time,a_x,a_y,a_z,F_x,F_y,F_z,T_x,T_y,T_z,z_1,z_2,z_3,z_4,z_5,z_6
0,0.481624,-0.296354,0.0585778,-0.036848,-0.919933,9.68302,0.416311,-1.08424,-0.158233,4.3666,-3.62947,10.2186,0.535531,-0.890488,-0.158233
663,0.481624,-0.296354,0.0585778,-0.036848,-0.919933,9.68302,0.416311,-1.08424,-0.158233,4.3666,-3.62947,10.2186,0.535531,-0.890488,-0.158233
2069,0.481624,-0.296354,0.0585778,-0.0366269,-0.915714,9.68203,0.416265,-1.08432,-0.158331,4.36682,-3.62525,10.2176,0.535485,-0.890569,-0.158331
3526,0.481624,-0.296354,0.0585778,-0.0367801,-0.909512,9.68308,0.416311,-1.08437,-0.158343,4.36667,-3.61905,10.2187,0.535531,-0.890617,-0.158343
3993,0.783241,0.00412382,0.0383852,-0.0367801,-0.909512,9.68308,0.416311,-1.08437,-0.158343,7.12433,-0.871808,10.034,0.414652,-0.769279,-0.158343
4732,0.783241,0.00412382,0.0383852,-0.0367801,-0.909512,9.68308,0.416311,-1.08437,-0.158343,7.12433,-0.871808,10.034,0.414652,-0.769279,-0.158343
4972,0.783241,0.00412388,0.0383851,-0.0344946,-0.909707,9.68108,0.416261,-1.08438,-0.158409,7.12662,-0.872003,10.032,0.414602,-0.769286,-0.158409
6388,0.783241,0.00412394,0.038385,-0.0327646,-0.913532,9.68027,0.416226,-1.08439,-0.158496,7.12835,-0.875827,10.0312,0.414567,-0.769299,-0.158496
7825,0.783241,0.00412401,0.038385,-0.0307007,-0.90956,9.67959,0.416269,-1.08438,-0.158504,7.13041,-0.871854,10.0305,0.41461,-0.769294,-0.158504
7905,0.912177,0.0736908,0.0266672,-0.0307007,-0.90956,9.67959,0.416269,-1.08438,-0.158504,8.30926,-0.23581,9.92341,0.386624,-0.717424,-0.158504
9263,0.912177,0.0736909,0.0266671,-0.0290918,-0.911012,9.67994,0.416298,-1.08436,-0.158553,8.31087,-0.237262,9.92375,0.386653,-0.717403,-0.158553
10698,0.912177,0.073691,0.026667,-0.0309669,-0.910159,9.67938,0.416272,-1.08441,-0.158394,8.30899,-0.236409,9.9232,0.386627,-0.717456,-0.158394
11875,0.963637,0.0888568,0.0191882,-0.0309669,-0.910159,9.67938,0.416272,-1.08441,-0.158394,8.77948,-0.0977487,9.85482,0.380526,-0.696754,-0.158394
12113,0.963637,0.0888568,0.0191881,-0.0402526,-0.904387,9.67908,0.416346,-1.08449,-0.158043,8.7702,-0.0919766,9.85452,0.3806,-0.696827,-0.158043
13556,0.963637,0.0888569,0.0191881,-0.044483,-0.912468,9.67945,0.416319,-1.08452,-0.158399,8.76597,-0.100056,9.85488,0.380573,-0.696864,-0.158399
14766,0.963637,0.0888569,0.0191881,-0.044483,-0.912468,9.67945,0.416319,-1.08452,-0.158399,8.76597,-0.100056,9.85488,0.380573,-0.696864,-0.158399
14962,0.963637,0.0888568,0.0191883,-0.0470686,-0.913121,9.6809,0.416407,-1.08453,-0.158378,8.76338,-0.10071,9.85633,0.380661,-0.696866,-0.158378
15825,0.983662,0.0858019,0.0183284,-0.0470686,-0.913121,9.6809,0.416407,-1.08453,-0.158378,8.94647,-0.128642,9.84847,0.38189,-0.68881,-0.158378
16425,0.983662,0.0858018,0.0183287,-0.0532382,-0.909474,9.68121,0.41646,-1.08453,-0.158314,8.94031,-0.124995,9.84879,0.381943,-0.688815,-0.158314
17842,0.983662,0.0858017,0.0183289,-0.0589979,-0.909163,9.68461,0.416524,-1.08464,-0.157979,8.93455,-0.124685,9.85219,0.382007,-0.688927,-0.157979
19274,0.983662,0.0858016,0.0183292,-0.0675427,-0.905268,9.68354,0.416595,-1.08471,-0.158011,8.926,-0.120791,9.85112,0.382078,-0.688992,-0.158011
19749,0.98928,0.0882027,0.0178681,-0.0675427,-0.905268,9.68354,0.416595,-1.08471,-0.158011,8.97737,-0.0988383,9.8469,0.381112,-0.686732,-0.158011
20696,0.98928,0.0882026,0.0178684,-0.0716932,-0.899074,9.68456,0.416629,-1.08479,-0.157982,8.97322,-0.0926445,9.84793,0.381146,-0.686815,-0.157982
22146,0.98928,0.0882025,0.0178686,-0.0736649,-0.899573,9.6864,0.416667,-1.08492,-0.158061,8.97125,-0.0931444,9.84977,0.381185,-0.686946,-0.158061
23580,0.98928,0.0882024,0.0178689,-0.0849772,-0.906763,9.69194,0.416768,-1.08496,-0.15813,8.95993,-0.100336,9.85531,0.381285,-0.686984,-0.15813
23694,0.991491,0.0887235,0.0147894,-0.0849772,-0.906763,9.69194,0.416768,-1.08496,-0.15813,8.98015,-0.0955713,9.82716,0.381075,-0.686094,-0.15813
24933,0.991491,0.0887235,0.0147894,-0.0849772,-0.906763,9.69194,0.416768,-1.08496,-0.15813,8.98015,-0.0955713,9.82716,0.381075,-0.686094,-0.15813
24987,0.991491,0.0887237,0.0147892,-0.0878838,-0.909445,9.69685,0.416802,-1.08512,-0.157995,8.97724,-0.0982512,9.83207,0.381109,-0.686255,-0.157995
26417,0.991491,0.0887238,0.0147891,-0.0932636,-0.908514,9.69812,0.416841,-1.08522,-0.158055,8.97186,-0.0973193,9.83333,0.381148,-0.686354,-0.158055
27709,0.992065,0.0894125,0.012789,-0.0932636,-0.908514,9.69812,0.416841,-1.08522,-0.158055,8.97711,-0.0910232,9.81505,0.380871,-0.686123,-0.158055
27897,0.992065,0.0894126,0.0127888,-0.0973023,-0.902195,9.7002,0.416873,-1.08532,-0.158091,8.97307,-0.084703,9.81713,0.380903,-0.686226,-0.158091
29302,0.992065,0.0894128,0.0127886,-0.0978137,-0.904072,9.70492,0.416804,-1.08542,-0.158109,8.97256,-0.0865779,9.82184,0.380835,-0.686326,-0.158109
30746,0.992065,0.0894129,0.0127884,-0.10083,-0.905404,9.70523,0.416863,-1.08548,-0.157981,8.96954,-0.0879088,9.82216,0.380893,-0.686386,-0.157981
31657,0.996148,0.0970256,0.0117239,-0.10083,-0.905404,9.70523,0.416863,-1.08548,-0.157981,9.00687,-0.018307,9.81242,0.377831,-0.684743,-0.157981
32193,0.996148,0.0970257,0.0117237,-0.103884,-0.906599,9.70842,0.416856,-1.0856,-0.157942,9.00382,-0.0195004,9.81561,0.377824,-0.684863,-0.157942
33644,0.996148,0.0970259,0.0117235,-0.1043,-0.907704,9.70933,0.416907,-1.08568,-0.157778,9.0034,-0.0206037,9.81651,0.377875,-0.684944,-0.157778
35009,0.996148,0.097026,0.0117233,-0.105479,-0.910797,9.71304,0.416908,-1.0858,-0.157668,9.00222,-0.0236957,9.82022,0.377875,-0.685061,-0.157668
35012,0.996148,0.097026,0.0117233,-0.105479,-0.910797,9.71304,0.416908,-1.0858,-0.157668,9.00222,-0.0236957,9.82022,0.377875,-0.685061,-0.157668
35653,0.997752,0.098672,0.0136542,-0.105479,-0.910797,9.71304,0.416908,-1.0858,-0.157668,9.01688,-0.00864656,9.83788,0.377213,-0.684416,-0.157668
36468,0.997752,0.0986721,0.0136539,-0.109628,-0.906053,9.71224,0.416949,-1.0859,-0.157846,9.01274,-0.00390174,9.83708,0.377254,-0.684512,-0.157846
37937,0.997752,0.0986721,0.0136536,-0.106429,-0.905679,9.7136,0.416996,-1.08595,-0.157765,9.01593,-0.00352742,9.83843,0.377301,-0.684568,-0.157765
39380,0.997752,0.0986722,0.0136533,-0.102932,-0.904484,9.71578,0.41702,-1.08601,-0.157665,9.01943,-0.00233182,9.84061,0.377326,-0.684631,-0.157665
39538,1.00029,0.0942504,0.00970687,-0.102932,-0.904484,9.71578,0.41702,-1.08601,-0.157665,9.04268,-0.0427593,9.80453,0.379105,-0.683608,-0.157665
40835,1.00029,0.0942505,0.00970656,-0.102471,-0.904524,9.71562,0.417042,-1.08596,-0.157744,9.04314,-0.0427988,9.80437,0.379126,-0.683557,-0.157744
42228,1.00029,0.0942505,0.00970625,-0.105293,-0.904103,9.71551,0.417084,-1.08606,-0.157845,9.04032,-0.042378,9.80425,0.379168,-0.683656,-0.157845
43476,1.00071,0.09118,0.00758342,-0.105293,-0.904103,9.71551,0.417084,-1.08606,-0.157845,9.04412,-0.0704521,9.78484,0.380403,-0.683489,-0.157845
43668,1.00071,0.09118,0.00758311,-0.103173,-0.904893,9.71544,0.417097,-1.08606,-0.157766,9.04624,-0.0712417,9.78478,0.380416,-0.683483,-0.157766
45093,1.00071,0.0911801,0.0075828,-0.100343,-0.902249,9.71439,0.417057,-1.08609,-0.157723,9.04907,-0.0685973,9.78372,0.380376,-0.683518,-0.157723
45101,1.00071,0.0911801,0.0075828,-0.100343,-0.902249,9.71439,0.417057,-1.08609,-0.157723,9.04907,-0.0685973,9.78372,0.380376,-0.683518,-0.157723
46515,1.00071,0.0911801,0.00758299,-0.101396,-0.899491,9.71539,0.417026,-1.08613,-0.157781,9.04802,-0.0658388,9.78472,0.380345,-0.683558,-0.157781
47393,1.00087,0.0905161,0.00768938,-0.101396,-0.899491,9.71539,0.417026,-1.08613,-0.157781,9.04952,-0.0719098,9.7857,0.380612,-0.683492,-0.157781
47930,1.00087,0.0905161,0.00768957,-0.0905187,-0.901704,9.71231,0.417,-1.0861,-0.157843,9.06039,-0.0741231,9.78261,0.380586,-0.683464,-0.157843
49396,1.00087,0.0905161,0.00768975,-0.0879155,-0.897745,9.71166,0.417035,-1.08612,-0.157774,9.063,-0.0701641,9.78197,0.380621,-0.683484,-0.157774
50834,1.00087,0.0905161,0.00768994,-0.0758602,-0.901953,9.70694,0.416921,-1.08596,-0.15799,9.07505,-0.0743714,9.77725,0.380507,-0.683321,-0.15799
51291,1.00064,0.0899902,0.00910153,-0.0758602,-0.901953,9.70694,0.416921,-1.08596,-0.15799,9.07292,-0.07918,9.79016,0.380719,-0.683414,-0.15799
52278,1.00064,0.0899902,0.00910172,-0.0660115,-0.898892,9.70782,0.416895,-1.08594,-0.158022,9.08277,-0.0761185,9.79104,0.380693,-0.68339,-0.158022
