time,fx,fy,fz,tx,ty,tz
663,-0.036848,-0.919933,9.68302,0.416311,-1.08424,-0.158233
2069,-0.035919,-0.908288,9.67491,0.415789,-1.08566,-0.158519
3526,-0.03725,-0.899294,9.69051,0.416783,-1.08516,-0.158363
4972,-0.027631,-0.910022,9.66714,0.415754,-1.08449,-0.158525
6388,-0.027604,-0.919695,9.67463,0.415859,-1.0846,-0.15865
7825,-0.02459,-0.903196,9.67491,0.416714,-1.08429,-0.158517
9263,-0.024349,-0.913332,9.68232,0.416592,-1.08402,-0.158639
10698,-0.036484,-0.908797,9.67557,0.416005,-1.08527,-0.158118
12113,-0.067643,-0.895117,9.67704,0.417095,-1.08569,-0.15743
13556,-0.056917,-0.925375,9.68194,0.416051,-1.08513,-0.159016
14962,-0.054703,-0.914173,9.69077,0.417287,-1.08455,-0.158341
16425,-0.071318,-0.903673,9.68337,0.416995,-1.08462,-0.158203
17842,-0.075943,-0.908664,9.70772,0.417169,-1.08646,-0.157395
19274,-0.09267,-0.899034,9.67624,0.417301,-1.08577,-0.158068
20696,-0.083917,-0.889135,9.69154,0.416971,-1.08614,-0.157931
22146,-0.079448,-0.900368,9.69885,0.417051,-1.08706,-0.158199
23580,-0.118174,-0.918243,9.72952,0.417772,-1.08557,-0.158249
24987,-0.096457,-0.91376,9.73021,0.417139,-1.08773,-0.157758
26417,-0.109112,-0.907022,9.70673,0.417232,-1.08683,-0.158161
27897,-0.109087,-0.892206,9.71428,0.417192,-1.08698,-0.158153
29302,-0.099318,-0.907082,9.73691,0.416123,-1.08706,-0.15814
30746,-0.109678,-0.907531,9.70738,0.417448,-1.08644,-0.15776
32193,-0.11283,-0.908501,9.73,0.416784,-1.08754,-0.157874
33644,-0.105517,-0.909459,9.71544,0.417421,-1.087,-0.157496
35009,-0.108974,-0.915823,9.7383,0.416913,-1.0877,-0.157474
36468,-0.121822,-0.898474,9.70685,0.417354,-1.08745,-0.158154
37937,-0.097089,-0.905087,9.72277,0.417463,-1.08685,-0.157626
39380,-0.092713,-0.902585,9.73053,0.417269,-1.08703,-0.157491
40835,-0.101124,-0.904587,9.71458,0.417251,-1.08515,-0.157882
42228,-0.11361,-0.903426,9.7147,0.417505,-1.08767,-0.158022
43668,-0.096944,-0.906158,9.71503,0.417228,-1.08596,-0.157628
45093,-0.092012,-0.898011,9.70726,0.416659,-1.08666,-0.157647
46515,-0.104498,-0.895063,9.72218,0.416713,-1.08677,-0.157884
47930,-0.05841,-0.905266,9.69135,0.416741,-1.08566,-0.157951
49396,-0.080292,-0.891456,9.7073,0.417382,-1.08644,-0.157655
50834,-0.040538,-0.908655,9.67497,0.415789,-1.08332,-0.158363
52278,-0.037177,-0.894018,9.71376,0.416631,-1.08554,-0.158077
53689,-0.0443,-0.920187,9.68226,0.415656,-1.08376,-0.15862
55104,-0.087402,-0.890721,9.70712,0.4163,-1.08672,-0.157652
56566,-0.108648,-0.884535,9.67664,0.416841,-1.08902,-0.157948
57999,-0.072239,-0.897978,9.70743,0.417512,-1.08538,-0.157521
59413,-0.006147,-0.898525,9.67427,0.415424,-1.0845,-0.158669
60849,0.025743,-0.925246,9.66662,0.416374,-1.07978,-0.158536
62288,-0.015041,-0.902683,9.68231,0.415829,-1.0849,-0.158523
63728,-0.041242,-0.917898,9.68264,0.41656,-1.08381,-0.15849
65137,-0.134831,-0.880025,9.68547,0.417153,-1.08808,-0.157246
66575,-0.177479,-0.892658,9.68458,0.414638,-1.09019,-0.157757
68016,-0.105988,-0.901275,9.67685,0.417733,-1.08561,-0.15779
69459,-0.040773,-0.901595,9.7213,0.416105,-1.08523,-0.158063
70864,0.050676,-0.913102,9.68918,0.416488,-1.07857,-0.158523
72309,-0.008184,-0.936158,9.71293,0.416958,-1.08203,-0.158472
73752,-0.091519,-0.907897,9.69939,0.416317,-1.08652,-0.157788
75119,-0.150311,-0.893443,9.70831,0.416136,-1.08863,-0.157213
76608,-0.259152,-0.900202,9.68532,0.417085,-1.0957,-0.158252
78042,-0.130227,-0.89782,9.70751,0.417154,-1.08773,-0.157752
79478,-0.101346,-0.901001,9.70081,0.417297,-1.08794,-0.157128
80863,0.052925,-0.921602,9.72059,0.417929,-1.07797,-0.158088
82304,0.0133,-0.934674,9.73632,0.416291,-1.0819,-0.157938
83742,-0.077685,-0.920634,9.69899,0.419003,-1.08479,-0.158311
85157,-0.204811,-0.897044,9.72465,0.415952,-1.09013,-0.156762
86643,-0.341783,-0.878445,9.71748,0.41571,-1.09904,-0.157378
88082,-0.255884,-0.916167,9.7013,0.417329,-1.09293,-0.157687
89492,-0.191262,-0.907325,9.73891,0.415812,-1.09205,-0.157435
90931,0.062133,-0.917184,9.72719,0.417529,-1.07783,-0.158617
92372,0.069777,-0.915693,9.77434,0.417988,-1.07944,-0.157793
93798,0.023,-0.947634,9.71301,0.418535,-1.07783,-0.158332
95238,-0.202655,-0.906058,9.72438,0.41782,-1.08902,-0.157149
96671,-0.387557,-0.866096,9.67216,0.415476,-1.10156,-0.157407
98086,-0.443278,-0.908358,9.69643,0.41659,-1.10351,-0.157081
99475,-0.432016,-0.874744,9.74879,0.41479,-1.10722,-0.157461
100920,-0.057764,-0.897483,9.71176,0.416832,-1.08415,-0.159368
102395,0.071803,-0.954704,9.73666,0.419708,-1.07766,-0.15782
103838,0.120288,-0.937649,9.71148,0.417858,-1.07482,-0.158663
105195,0.01019,-0.937798,9.6974,0.418445,-1.07554,-0.158451
106622,-0.456362,-0.880004,9.6594,0.41717,-1.10809,-0.15675
108092,-0.570661,-0.859902,9.65011,0.41426,-1.10508,-0.157558
109532,-0.847753,-0.874841,9.71499,0.413174,-1.13015,-0.157309
110945,-0.433573,-0.899142,9.69449,0.416024,-1.10325,-0.158146
112390,-0.136331,-0.925011,9.75457,0.418604,-1.08763,-0.157165
113837,0.126779,-0.963359,9.72107,0.419527,-1.07804,-0.157891
115291,0.322458,-0.967796,9.73961,0.418963,-1.05487,-0.15852
116709,-0.279636,-0.878986,9.67985,0.416717,-1.10221,-0.157237
118149,-0.469873,-0.839713,9.67172,0.413261,-1.09679,-0.157294
119583,-1.00401,-0.81762,9.73268,0.410571,-1.14,-0.156306
121022,-0.571556,-0.893122,9.73411,0.416743,-1.11405,-0.158328
122458,-0.157241,-0.951148,9.7779,0.418542,-1.08772,-0.15699
123855,0.242763,-1.00347,9.74144,0.421301,-1.07292,-0.15912
125316,0.59414,-0.979165,9.69832,0.422392,-1.0381,-0.159199
126753,-0.117281,-0.854303,9.69982,0.413262,-1.0912,-0.157277
128158,-0.416019,-0.820574,9.65349,0.410547,-1.09375,-0.158397
129574,-1.1201,-0.792468,9.78461,0.410602,-1.14525,-0.157769
131030,-0.793955,-0.893736,9.76578,0.415078,-1.13053,-0.159019
132491,-0.178833,-1.01767,9.78633,0.423274,-1.08907,-0.157496
133869,0.192633,-1.05955,9.70341,0.42201,-1.07733,-0.159812
135304,0.732099,-1.00061,9.67225,0.422367,-1.02678,-0.160186
136741,-0.089817,-0.818739,9.61509,0.410776,-1.08864,-0.157244
